countdown_index,title,year,tMeterScore,adjusted_score,critics_consensus,synopsis,synopsis_link,director,cast
140,Running Scared,1986,60.0,61.188,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this...",https://www.rottentomatoes.com/m/1018009-running_scared/,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
139,Equilibrium,2002,40.0,41.991,Equilibrium is a reheated mishmash of other sci-fi movies.,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If...",https://www.rottentomatoes.com/m/equilibrium/,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
138,Hero,2004,95.0,100.759,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the...,https://www.rottentomatoes.com/m/hero/,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Chen"
137,Road House,1989,39.0,41.997,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -...,https://www.rottentomatoes.com/m/1017666-road_house/,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
136,Unstoppable,2010,86.0,91.465,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel...",https://www.rottentomatoes.com/m/unstoppable-2010/,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee"
135,Shaft,1971,88.0,92.029,"This is the man that would risk his neck for his brother, man. Can you dig it?","Shaft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses...",https://www.rottentomatoes.com/m/1018699-shaft/,Gordon Parks,"Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. John"
134,The Villainess (Ak-Nyeo),2017,84.0,86.906,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Since she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to...",https://www.rottentomatoes.com/m/the_villainess/,Jung Byung-gil,"Ok-bin Kim, Kim Seo-hyung, Shin Ha-kyun, Bang Sung-jun"
133,Highlander,1986,69.0,71.938,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,...",https://www.rottentomatoes.com/m/highlander/,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
132,Die Hard 2,1990,68.0,72.3,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in...",https://www.rottentomatoes.com/m/die_hard_2_1990/,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
131,National Treasure,2004,46.0,50.845,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no...",https://www.rottentomatoes.com/m/national_treasure/,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
